JP,EN
,
<このまま>,<このまま>
,
<Choice End>,<Choice End>
,
#Choice#,#Choice#
ストックした発言を当てる,Apply stored statement
やめる,Cancel
##,##
,
<ストックした発言を当てる>,<ストックした発言を当てる>
,
{ケイジ} [ケイジ / cara2-1],{ケイジ} [ケイジ / cara2-1]
#Message#,#Message#
「おまわりさん　その発言について,"I've got nothing else to say about that."
　これ以上言えることはないよ」,##
##,
,
{サラ},{サラ}
#Message#,#Message#
\C[4]（別の発言を当てればいいかもしれない…）,\C[4](Maybe I should try a different statement...)
##,##
,
<やめる>,<やめる>
,
<Choice End>,<Choice End>
,
{ケイジ} [ケイジ / cara2-1],{ケイジ} [ケイジ / cara2-1]
#Message#,#Message#
「オレ達には時間が足りてない,"We don't have enough time.
　信頼を深めあう　時間がね」," Time to build trust, that is."""
##,##
,
#Message#,#Message#
\.「けど　刑事のカンが言ってるんだ,\."But my detective senses tell me
　サラちゃんなら大丈夫ってね」, that we'll be just fine with Sara."
##,##
,
#Message#,#Message#
「オレ達には時間が足りてない,"We don't have enough time.
　信頼を深めあう　時間がね」," Time to build trust, that is."""
##,##
,
{カイ} [カイ / cara8-1],{カイ} [カイ / cara8-1]
#Message#,#Message#
\.「…その通りですね」,\."...Precisely."
##,##
,
#Message#,#Message#
\.「しかしアナタはサラさんを,"\.""And yet, it appears you are"
　とても信頼しているようですが」, very trusting of miss Sara..."
##,##
,
{ケイジ} [ケイジ / cara2-1],{ケイジ} [ケイジ / cara2-1]
#Message#,#Message#
\.「お　わかる？」,"\.""Oh, you can tell?"""
##,##
,
{カイ} [カイ / cara8-1],{カイ} [カイ / cara8-1]
#Message#,#Message#
\.「…私が思うに…」,\."If I may offer my interpretation..."
##,##
,
#Message#,#Message#
\.「サラさんとジョーくんが…,\."Perhaps it's because Sara and Joe are acquainted?"
　知り合いだから…でしょうか」,##
##,
,
#Message#,#Message#
\.「…２人が互いの身分を証明するゆえに,"\.""Because those two can vouch for each other,"
　信頼できると踏んだのですね？」," you concluded they could be trusted, yes?"""
##,##
,
{ケイジ} [ケイジ / cara2-2],{ケイジ} [ケイジ / cara2-2]
#Message#,#Message#
\.「そんな打算的に見える？,\."Do I look that calculating?
　おまわりさんショックだねー」, That comes as a real shock."
##,##
,
#Message#,#Message#
\.「これはただの直感だよ,\."It's just intuition.
　おまわりさん　人を見る目は…自信あるんだ」, I'm confident in my eye for people."
##,##
,
{カイ} [カイ / cara8-2],{カイ} [カイ / cara8-2]
#Message#,#Message#
\.「なるほど…」,\."I see..."
##,##
,
[カイ / cara8-1],[カイ / cara8-1]
#Message#,#Message#
\.「…しかしアナタの話には一つ,"\.""...However, there's a piece missing from your story."""
　抜けている点がありますね」,##
##,
,
{ケイジ} [ケイジ / cara2-1],{ケイジ} [ケイジ / cara2-1]
#Message#,#Message#
\.「…へぇ」,\."...Oh yeah?"
##,##
,
{カイ} [カイ / cara8-1],{カイ} [カイ / cara8-1]
#Message#,#Message#
\.「……」,\."..."
##,##
,
,
**********Common59********** (Q「挑戦者は俺だ」),**********Common59********** (Q「挑戦者は俺だ」)
{Qタロウ},{Qタロウ}
#Message#,#Message#
「単刀直入に言うぜ　オレは銃器の扱いに経験がある,"Straight to the point: I got experience handlin' guns.
　チャレンジャーはオレに任せてくれ」, So leave bein' the Challenger to me."
##,##
,
#Choice#,#Choice#
発言をストックする,Store statement
やめる,Cancel
##,##
,
<発言をストックする>,<発言をストックする>
,
<やめる>,<やめる>
,
<Choice End>,<Choice End>
,
#Choice#,#Choice#
ストックを解除する,Clear stored statement
このまま,Keep it
##,##
,
<ストックを解除する>,<ストックを解除する>
,
<このまま>,<このまま>
,
<Choice End>,<Choice End>
,
#Choice#,#Choice#
ストックした発言を当てる,Apply stored statement
やめる,Cancel
##,##
,
<ストックした発言を当てる>,<ストックした発言を当てる>
,
{Qタロウ} [Qタロウ / cara4-2],{Qタロウ} [Qタロウ / cara4-2]
#Message#,#Message#
「異論があるんづーたら,"""If you got'n objection,"
　もちっと分かりやすく説明してくれよ！」, ya gotta explain yerself better than that!"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\C[4]（別の発言を当てれば納得させられるだろうか…）,\C[4](Would a different statement convince him...?)
##,##
,
<やめる>,<やめる>
,
<Choice End>,<Choice End>
,
{Qタロウ} [Qタロウ / cara4-2],{Qタロウ} [Qタロウ / cara4-2]
#Message#,#Message#
「こん国では銃を扱えっち人間なんて限られてる,"Not a lotta people in this country who handle guns.
　オレの経験は貴重だろ」," My experience is valuable, ain't it?"""
##,##
,
#Message#,#Message#
\.「…合理的に考えてみようぜよ　お前らも」,\."You guys gotta think about it rationally."
##,##
,
#Message#,#Message#
「こん国では銃を扱えっち人間なんて限られてる,"Not a lotta people in this country who handle guns.
　オレの経験は貴重だろ」," My experience is valuable, ain't it?"""
##,##
,
{カイ} [カイ / cara8-1],{カイ} [カイ / cara8-1]
#Message#,#Message#
\.「ゲームの内容がわかりませんが…,\."We don't know what the game entails...
　技術を求められた場合は信頼できますね」," But if it requires skill with guns, then yes."""
##,##
,
{Qタロウ} [Qタロウ / cara4-4],{Qタロウ} [Qタロウ / cara4-4]
#Message#,#Message#
\.「な！　オレは何も,\."Right! I ain't thinkin' a single thought
　自分が安全になりたいとは思っちょらせん」, about keepin' my own hide safe."
##,##
,
#Message#,#Message#
\.「ゲームクリアする最善の方法を考えとるだけだ」,\."I'm jus' considerin' the best way to beat this game."
##,##
,
{ジョー} [ジョー / cara1-11],{ジョー} [ジョー / cara1-11]
#Message#,#Message#
\.「た…確かにQタロウさんの言うこともわかるけど…」,"\.""I... I do get what you're saying, but..."""
##,##
,
{Qタロウ} [Qタロウ / cara4-1],{Qタロウ} [Qタロウ / cara4-1]
#Message#,#Message#
\.「…合理的に考えてみようぜよ　お前らも」,\."You guys gotta think about it rationally."
##,##
,
{ジョー} [ジョー / cara1-14],{ジョー} [ジョー / cara1-14]
#Message#,#Message#
\.「…オレ達だって,"\.""...It's not like we're not thinking either, okay?"""
　考え無しってわけじゃねーッスよ」,##
##,
,
,
**********Common60********** (ｶｲ「決めかねてる」),**********Common60********** (ｶｲ「決めかねてる」)
{カイ},{カイ}
#Message#,#Message#
「…う～ん…私は決めかねております,"...Hrm... I am undecided.
　サラさんに責任を負わせることは心苦しいですね」, It pains me to put the responsibility on miss Sara."
##,##
,
#Choice#,#Choice#
発言をストックする,Store statement
やめる,Cancel
##,##
,
<発言をストックする>,<発言をストックする>
,
<やめる>,<やめる>
,
<Choice End>,<Choice End>
,
#Choice#,#Choice#
ストックを解除する,Clear stored statement
このまま,Keep it
##,##
,
<ストックを解除する>,<ストックを解除する>
,
<このまま>,<このまま>
,
<Choice End>,<Choice End>
,
#Choice#,#Choice#
ストックした発言を当てる,Apply stored statement
やめる,Cancel
##,##
,
<ストックした発言を当てる>,<ストックした発言を当てる>
,
{カイ} [カイ / cara8-1],{カイ} [カイ / cara8-1]
#Message#,#Message#
「すみません…,"Sorry...
　もう少し…悩ませてください」, Please let me ponder a bit more."
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（効果はなかったみたいだな…）,\.\C[4](Doesn't seem to have had an effect...)
##,##
,
<やめる>,<やめる>
,
<Choice End>,<Choice End>
,
{カイ} [カイ / cara8-4],{カイ} [カイ / cara8-4]
#Message#,#Message#
「ただ　自分が銃を扱える自信はないです,"""Though, I am not confident in holding a gun myself."
　どなたかにお願いしたいところですね」, So it's a question of who I would want to do so."
##,##
,
#Message#,#Message#
\.「…しかし…誰に…」,\."Yet... who indeed...?"
##,##
,
#Message#,#Message#
「ただ　自分が銃を扱える自信はないです,"""Though, I am not confident in holding a gun myself."
　どなたかにお願いしたいところですね」, So it's a question of who I would want to do so."
##,##
,
[カイ / cara8-1],[カイ / cara8-1]
#Message#,#Message#
\.「…もちろん…こういう事に向いている人が,\."Of course... There is someone here
　１名いるのですが…」, who would be well suited to such a task..."
##,##
,
#Message#,#Message#
\.「なぜだかその人は立候補しません」,"\.""But for some reason,"
##, he is not presenting himself as a candidate."
,##
,
{ケイジ} [ケイジ / cara2-4],{ケイジ} [ケイジ / cara2-4]
#Message#,#Message#
\.「……」,\."..."
##,##
,
{カイ} [カイ / cara8-4],{カイ} [カイ / cara8-4]
#Message#,#Message#
\.「理由はわかりませんが本人が拒否するのであれば,"\.""Whatever the case, if he refuses it,"
　お願いする気は起きませんね」, I have no desire to ask him."
##,##
,
#Message#,#Message#
\.「…困ったものです」,\."...How troubling."
##,##
,
,
**********Common61********** (ｼﾞｮｰ「反論できる？」),**********Common61********** (ｼﾞｮｰ「反論できる？」)
{ジョー},{ジョー}
#Message#,#Message#
「どうだサラ？,"""Well, Sara?"
　何か反論できそうなことはあったか？」, Can you think of any rebuttals?"
##,##
,
#Choice#,#Choice#
発言をストックする,Store statement
やめる,Cancel
##,##
,
<発言をストックする>,<発言をストックする>
,
<やめる>,<やめる>
,
<Choice End>,<Choice End>
,
#Choice#,#Choice#
ストックを解除する,Clear stored statement
このまま,Keep it
##,##
,
<ストックを解除する>,<ストックを解除する>
,
<このまま>,<このまま>
,
<Choice End>,<Choice End>
,
#Choice#,#Choice#
ストックした発言を当てる,Apply stored statement
やめる,Cancel
##,##
,
<ストックした発言を当てる>,<ストックした発言を当てる>
,
{ジョー} [ジョー / cara1-13],{ジョー} [ジョー / cara1-13]
{SE: Accent28-1},{SE: Accent28-1}
#Message#,#Message#
「おお！　上手いぞサラ！,"""Whoa! Nice one, Sara!"
　そうやって発言をぶつけてやるんだ！」," Attack with statements, just like that!"""
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「いいから答えるんだジョー！,"\.""Answer me, Joe!"
　私が当てた発言に対して　どう思う！」, What do you think about this statement?!"
##,##
,
{ジョー} [ジョー / cara1-16],{ジョー} [ジョー / cara1-16]
#Message#,#Message#
\.「オレを問い詰めてどうすんだよ!?」,\."What're you pressing me for?!"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（逃げられた…）,\.\C[4](He gave me the slip...)
##,##
,
<やめる>,<やめる>
,
<Choice End>,<Choice End>
,
{ジョー} [ジョー / cara1-12],{ジョー} [ジョー / cara1-12]
{SE: Accent28-1},{SE: Accent28-1}
#Message#,#Message#
「いいかサラ！,"""Got it, Sara?"
　\C[2]誰かと誰かの発言を戦わせて\C[0]みるんだ！」, Try \C[2]making two people's statements fight\C[0]!"
##,##
,
{N/A},{N/A}
#Message#,#Message#
\C[2]VS\C[0]をタッチすると　選択した人の発言を,Touch \C[2]VS\C[0] to pit one person's statement
別の誰かにぶつけることができます。,against someone else's statement.
##,##
,
[ジョー / cara1-13],[ジョー / cara1-13]
#Message#,#Message#
\.「自信持っていこうぜ！」,\."Have confidence!"
##,##
,
{ジョー} [ジョー / cara1-12],{ジョー} [ジョー / cara1-12]
#Message#,#Message#
「緊張したカオすんなよ！　いつもみたいに,"Don't look so nervous!
　ドーンと大物ぶった態度でいろって！」, Put on your usual bigshot attitude!"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「お前は私をなんだと思ってるんだ…？」,\."Who do you even think I am...?"
##,##
,
{ジョー} [ジョー / cara1-13],{ジョー} [ジョー / cara1-13]
{SE: Accent28-1},{SE: Accent28-1}
#Message#,#Message#
\.「園辺之高校のゴッドファーザーだろ！」,\."The Godfather of Sonobeno High School!"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「まったく…まじめに考えてくれないか」,\."Urgh... Can you think about this seriously?"
##,##
,
#Choice#,#Choice#
反論の仕方がわからない,I don't know how to object
信頼の上げ方がわからない,I don't know how to gain trust
##,##
,
<反論の仕方がわからない>,<反論の仕方がわからない>
,
{サラ} [ジョー / cara1-13],{サラ} [ジョー / cara1-13]
#Message#,#Message#
「みんな正論を言ってる気がするんだ,"I feel like everyone's arguments are sound.
　私には反論できる言葉が…ない」, I have... no rebuttals to make."
##,##
,
<信頼の上げ方がわからない>,<信頼の上げ方がわからない>
,
{サラ} [ジョー / cara1-13],{サラ} [ジョー / cara1-13]
#Message#,#Message#
「みんなに信頼しろと言っても難しい話だ,"It's hard to tell everyone to trust me.
　私自身…ただの女子高生だからな…」, I'm just... a regular high school student..."
##,##
,
<Choice End>,<Choice End>
,
{ジョー} [ジョー / cara1-14],{ジョー} [ジョー / cara1-14]
#Message#,#Message#
\.「確かに…理屈で考えりゃ…サラには不向きだもんな」,"\.""True... Thinking about it logically,"
##," you don't have much ground to stand on, Sara."""
,##
,
[ジョー / cara1-11],[ジョー / cara1-11]
#Message#,#Message#
\.「だったらよ！,\."In that case! How about you
　\C[2]誰かと誰かの発言を戦わせて\C[0]みたらどうだ!?」, \C[2]have two people's statements duke it out\C[0]?!"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「発言を戦わせる…？」,\."Duke it out...?"
##,##
,
{ジョー} [ジョー / cara1-12],{ジョー} [ジョー / cara1-12]
#Message#,#Message#
\.「ああ！　\C[2]対立する発言\C[0]同士をぶち当てて,\."Yeah! Pit \C[2]opposing statements\C[0] against each other
　対話の発展を狙うんだ！」, to advance the discussion!"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「他人の言葉を借りるわけか…,\."So you're saying to borrow the words of others...
　やってみる…！」, I'll give it a try!"
##,##
,
{N/A},{N/A}
#Message#,#Message#
操作説明,Controls
##,##
,
#Message#,#Message#
\C[2]VS\C[0]をタッチすると　選択した人の発言を,Touch \C[2]VS\C[0] to pit one person's statement
別の誰かにぶつけることができます。,against someone else's statement.
##,##
,
#Message#,#Message#
上手く\C[2]対立\C[0]する発言だった場合、,"If the statements are \C[2]in conflict\C[0],"
対話が発展します。,the discussion will advance.
##,##
,
,
**********Common62********** (進展●「信頼度だ」),**********Common62********** (進展●「信頼度だ」)
{ケイジ} [ケイジ / cara2-1],{ケイジ} [ケイジ / cara2-1]
{SE: Accent28-1},{SE: Accent28-1}
#Message#,#Message#
「Qタロウ　キミに経験があったとしても,"""Q-taro, even if you do have experience,"
　信頼はできない」, I can't trust you."
##,##
,
{Qタロウ} [Qタロウ / cara4-2],{Qタロウ} [Qタロウ / cara4-2]
#Message#,#Message#
「…ぐっ」,"...Urk."
##,##
,
#Message#,#Message#
\.「なんぜだ！,\."Whyzat?!
　こん中じゃー経験っち重要なもんじゃねーのか！」, Ain't experience important for this?!"
##,##
,
{ケイジ} [ケイジ / cara2-2],{ケイジ} [ケイジ / cara2-2]
#Message#,#Message#
\.「このゲームは銃の腕前が必要とは思えないからね」,\."It's because I can't imagine this game
##, requires skill with a gun."
,##
,
{Qタロウ} [Qタロウ / cara4-2],{Qタロウ} [Qタロウ / cara4-2]
{SE: Accent21-1},{SE: Accent21-1}
#Message#,#Message#
\.「…なに？」,\."...Say what?"
##,##
,
{ケイジ} [ケイジ / cara2-4],{ケイジ} [ケイジ / cara2-4]
#Message#,#Message#
\.「部屋を見るんだ,\."Look at the room.
　怪しい人形達が気にならないか？」, Aren't these dolls curious?"
##,##
,
[ケイジ / cara2-1],[ケイジ / cara2-1]
#Message#,#Message#
\.「おそらくダミーの的…なんだよ」,\."I'm betting... they're dummy targets."
##,##
,
{Qタロウ},{Qタロウ}
#Message#,#Message#
\.「…ダミー…だと」,\."Dummies...?"
##,##
,
{ケイジ} [ケイジ / cara2-2],{ケイジ} [ケイジ / cara2-2]
#Message#,#Message#
\.「人間を撃つか…人形を撃つか…,"\.""Shoot a human, or shoot a doll..."
　そんなとこかねぇ　ゲームの中身は」, That's probably what the game's about."
##,##
,
{Qタロウ},{Qタロウ}
#Message#,#Message#
\.「……」,\."..."
##,##
,
{ケイジ} [ケイジ / cara2-4],{ケイジ} [ケイジ / cara2-4]
#Message#,#Message#
\.「重要なのは冷静な頭さ,\."What's important is a cool head.
　\!なにせ的はイスから動かないんだからね」,\! The targets can't move from the chairs anyhow."
##,##
,
{Qタロウ} [Qタロウ / cara4-1],{Qタロウ} [Qタロウ / cara4-1]
#Message#,#Message#
\.「オレはずっと冷静だぜ…これでもな」,\."I'm always cool-headed... Believe it or not."
##,##
,
{ケイジ} [ケイジ / cara2-5],{ケイジ} [ケイジ / cara2-5]
#Message#,#Message#
\.「人に銃口を向けた状態でも？」,\."Even when you're pointing a gun at someone?"
##,##
,
{Qタロウ} [Qタロウ / cara4-2],{Qタロウ} [Qタロウ / cara4-2]
{SE: Accent28-1},{SE: Accent28-1}
#Message#,#Message#
\.「……！」,\."...!"
##,##
,
{ケイジ} [ケイジ / cara2-2],{ケイジ} [ケイジ / cara2-2]
#Message#,#Message#
\.「嫌なもんだぜ　目の前の人間が自分の手で,"\.""It's an awful thing, when the person"
　死ぬかもしれないってのはさ」, you're looking at could die by your hand."
##,##
,
#Message#,#Message#
\.「そんな経験があるのか？」,\."You ever experienced that?"
##,##
,
{Qタロウ},{Qタロウ}
#Message#,#Message#
\.「………」,\.".........."
##,##
,
{ケイジ} [ケイジ / cara2-1],{ケイジ} [ケイジ / cara2-1]
#Message#,#Message#
\.「オレには　素人が平常時に受けた訓練より,\."I trust somebody determined to save her friend
　お友達を救おうって決意の方が　, more than an amateur with average training."
　信頼できるのさ」,##
##,
,
{Qタロウ},{Qタロウ}
#Message#,#Message#
\.「…」,\."..."
##,##
,
#Message#,#Message#
\.「…わかったよ」,\."...I get it."
##,##
,
[Qタロウ / cara4-3],[Qタロウ / cara4-3]
#Message#,#Message#
\.「確かにオレには無理かもしれねー」,\."Maybe I might not be up for it..."
##,##
,
[Qタロウ / cara4-4],[Qタロウ / cara4-4]
#Message#,#Message#
\.「けどな！　まだ言いてえことがある」,\."But still! I got more to say."
##,##
,
{ケイジ} [ケイジ / cara2-4],{ケイジ} [ケイジ / cara2-4]
#Message#,#Message#
\.「聞こうか…」,\."Suppose I'll listen..."
##,##
,
{Qタロウ} [Qタロウ / cara4-2],{Qタロウ} [Qタロウ / cara4-2]
#Message#,#Message#
\.「ケイジ！　お前さんがチャレンジャーを,\."Keiji! Doesn't that mean we should
　やればいい話じゃねぇか！」, have you be the Challenger?!"
##,##
,
#Message#,#Message#
\.「職業柄　修羅場だってかいくぐってるハズだろ！」,\."You must've been in tons of gunfights
##, in your line o' work!"
,##
,
{ケイジ} [ケイジ / cara2-4],{ケイジ} [ケイジ / cara2-4]
#Message#,#Message#
\.「……」,\."..."
##,##
,
{ジョー} [ジョー / cara1-15],{ジョー} [ジョー / cara1-15]
#Message#,#Message#
\.「…た…確かにそれは…」,\."T-That is true..."
##,##
,
{カイ} [カイ / cara8-1],{カイ} [カイ / cara8-1]
#Message#,#Message#
\.「そうですね　私もずっと疑問に思っていました」,"\.""Indeed, I was wondering about that myself."""
##,##
,
#Message#,#Message#
\.「なぜ　一番適任である警察の方が,"\.""Why the policeman, who would be most suitable,"
　自薦しないのか…と」, is not recommending himself."
##,##
,
{ケイジ} [ケイジ / cara2-4],{ケイジ} [ケイジ / cara2-4]
#Message#,#Message#
\.「…まぁ　そう思われるよね…」,"\.""...Guess you would think so, huh..."""
##,##
,
{Qタロウ} [Qタロウ / cara4-2],{Qタロウ} [Qタロウ / cara4-2]
#Message#,#Message#
\.「オレだって命を預けるんだったら,"\.""If I'm gonna put my life on the line,"
　少しでも信頼できるヤツがいいんだ」, I want the most dependable person I can get."
##,##
,
#Message#,#Message#
\.「自分以外ならケイジ…,"\.""If it ain't me, then it's Keiji..."
　お前さんしかいねーぜよ」, You're the only one."
##,##
,
{ジョー} [ジョー / cara1-15],{ジョー} [ジョー / cara1-15]
#Message#,#Message#
\.「ケイジさん…どうしたんだ…？」,\."Keiji... What's the matter...?"
##,##
,
{ケイジ} [ケイジ / cara2-4],{ケイジ} [ケイジ / cara2-4]
#Message#,#Message#
\.「…」,\."..."
##,##
,
{ジョー} [ジョー / cara1-15],{ジョー} [ジョー / cara1-15]
#Message#,#Message#
\.「黙ってちゃオレ達わからないぜ！」,\."We won't know if you keep quiet!"
##,##
,
{カイ} [カイ / cara8-4],{カイ} [カイ / cara8-4]
#Message#,#Message#
\.「…拒むなら理由が知りたいですね,"\.""If you refuse, I wish to know the reason."
　このままでは今後にも影響します…」," At this rate, it will prove an issue..."""
##,##
,
#Message#,#Message#
\.「…このままでは話し合いを終われませんよ」,\."...We cannot end our discussion in this state."
##,##
,
,
**********Common63********** (ｹｲｼﾞ「……」),**********Common63********** (ｹｲｼﾞ「……」)
{ケイジ},{ケイジ}
#Message#,#Message#
「……」,"..."
##,##
,
#Choice#,#Choice#
発言をストックする,Store statement
やめる,Cancel
##,##
,
<発言をストックする>,<発言をストックする>
,
<やめる>,<やめる>
,
<Choice End>,<Choice End>
,
#Choice#,#Choice#
ストックを解除する,Clear stored statement
このまま,Keep it
##,##
,
<ストックを解除する>,<ストックを解除する>
,
<このまま>,<このまま>
,
<Choice End>,<Choice End>
,
#Choice#,#Choice#
ストックした発言を当てる,Apply stored statement
やめる,Cancel
##,##
,
<ストックした発言を当てる>,<ストックした発言を当てる>
,
{ケイジ} [ケイジ / cara2-4],{ケイジ} [ケイジ / cara2-4]
#Message#,#Message#
「……」,"..."
##,##
,
{サラ},{サラ}
#Message#,#Message#
\C[4]（まずは詳しく聞いてみないと何もわからないな…）,"\C[4](I need to hear more information first,"
##, or I won't know what to do...)
,##
,
<やめる>,<やめる>
,
<Choice End>,<Choice End>
,
{ケイジ} [ケイジ / cara2-4],{ケイジ} [ケイジ / cara2-4]
#Message#,#Message#
「…」,"..."
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（ケイジさんは堅く口を閉ざしている…）,\.\C[4](Keiji's lips are sealed...)
##,##
,
#Choice#,#Choice#
銃を撃ったことがない？,Have you never fired a gun?
黙る理由は何？,Why are you silent?
なぜ私にやらせたい？,Why make me do it?
##,##
,
<銃を撃ったことがない？>,<銃を撃ったことがない？>
,
{サラ} [ケイジ / cara2-4],{サラ} [ケイジ / cara2-4]
#Message#,#Message#
「ケイジさん…実は銃を撃ったことがないんですか？」,"Keiji... Have you never actually fired a gun?"
##,##
,
{ケイジ} [ケイジ / cara2-1],{ケイジ} [ケイジ / cara2-1]
#Message#,#Message#
\.「あるよ」,\."I have."
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（ここはあっさり答えるのに…）,"\.\C[4](He answered that easily, and yet...)"
##,##
,
<黙る理由は何？>,<黙る理由は何？>
,
{サラ} [ケイジ / cara2-1],{サラ} [ケイジ / cara2-1]
#Message#,#Message#
「ケイジさん…なぜそこまで黙るんですか？」,"Keiji... Why are you staying silent?"
##,##
,
{ケイジ} [ケイジ / cara2-5],{ケイジ} [ケイジ / cara2-5]
#Message#,#Message#
\.「……」,\."..."
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「ケイジさん…」,\."Keiji..."
##,##
,
#Message#,#Message#
\.「答えなさい!!」,\."Answer me!!"
##,##
,
{ケイジ} [ケイジ / cara2-2],{ケイジ} [ケイジ / cara2-2]
{SE: Onmtp-Surprise05-1},{SE: Onmtp-Surprise05-1}
#Message#,#Message#
\.「うおっ」,\."Whoa."
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「みんな真剣なんです！,\."We're all being serious!
　黙ってちゃわかりませんよ！」," If you don't say what you're thinking, we won't know!"""
##,##
,
{ケイジ},{ケイジ}
#Message#,#Message#
\.「…」,\."..."
##,##
,
[ケイジ / cara2-1],[ケイジ / cara2-1]
#Message#,#Message#
\.「…ふふっ」,\."...Hahah."
##,##
,
#Message#,#Message#
\.「はっはっはっは！」,\."Hah hah hah hah!"
##,##
,
#Message#,#Message#
\.「キミは　オレの母ちゃんか？　はっはっは！」,"\.""What are you, my mom? Hahaha!"""
##,##
,
#Message#,#Message#
\.「ククク…」,\."Wahah..."
##,##
,
#Message#,#Message#
\.「…」,\."..."
##,##
,
[ケイジ / cara2-4],[ケイジ / cara2-4]
#Message#,#Message#
\.「…あー笑った…,"\.""Ahh, that was a good laugh..."
　そうだな　説明させてもらうよ」," All right, I'll explain."""
##,##
,
[ケイジ / cara2-1],[ケイジ / cara2-1]
{SE: se_maoudamashii_magical14},{SE: se_maoudamashii_magical14}
#Message#,#Message#
\.「…オレは\C[2]人を撃ってしまった\C[0]んだ,\."...\C[2]I shot a person\C[0].
　それ以来…銃が撃てなくなっちまった」, Since then... I haven't been able to fire a gun."
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「…えっ!?」,\."...Huh?!"
##,##
,
{ケイジ},{ケイジ}
#Message#,#Message#
\.「情けないもんだね　その覚悟があったから,\."I know it's pathetic. Should've been
　刑事になったはずだったのに」, prepared for that when I became a detective."
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「でも…そんなことがあればニュースになるはずじゃ…」,"\.""But... If something like that happened,"
##, wouldn't it make the news...?"
,##
,
{ケイジ} [ケイジ / cara2-4],{ケイジ} [ケイジ / cara2-4]
#Message#,#Message#
\.「表に出る物だけが真実じゃないさ」,\."Reality's not only what comes to the surface."
##,##
,
#Message#,#Message#
\.「…それだけ　だよ　本当」,\."...That's all I got. It's the truth."
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（…これ以上詳しくは教えてもらえそうにない…か）,\.\C[4](I doubt he'll tell me any more...)
##,##
,
{SE: Accent28-1},{SE: Accent28-1}
#Message#,#Message#
\.\C[4]（しかしどうやら…ケイジさんから,\.\C[4](But... It seems I've extracted
　新たな発言を引き出せたみたいだ）, a new statement out of Keiji.)
##,##
,
<なぜ私にやらせたい？>,<なぜ私にやらせたい？>
,
{サラ} [ケイジ / cara2-4],{サラ} [ケイジ / cara2-4]
#Message#,#Message#
「ケイジさん…なぜ私にそこまで譲りたいんですか？」,"Keiji... Why do you want me to do it so badly?"
##,##
,
{ケイジ} [ケイジ / cara2-1],{ケイジ} [ケイジ / cara2-1]
#Message#,#Message#
\.「かわいいからね」,\."'Cause you're so darn cute."
##,##
,
#Message#,#Message#
\.「…何度も言わせたいのかい？」,\."How many times are you gonna make me say it?"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（明らかに　はぐらかしている…）,\.\C[4](He's clearly evading the question...)
##,##
,
<Choice End>,<Choice End>
,
,
**********Common64********** (Q「ケイジ撃てよ！」),**********Common64********** (Q「ケイジ撃てよ！」)
{Qタロウ},{Qタロウ}
#Message#,#Message#
\.「ケイジ！　お前さんがチャレンジャーを,"Keiji! Doesn't that mean we should
　やればいい話じゃねぇか！」, have you be the Challenger?!"
##,##
,
#Choice#,#Choice#
発言をストックする,Store statement
やめる,Cancel
##,##
,
<発言をストックする>,<発言をストックする>
,
<やめる>,<やめる>
,
<Choice End>,<Choice End>
,
#Choice#,#Choice#
ストックを解除する,Clear stored statement
このまま,Keep it
##,##
,
<ストックを解除する>,<ストックを解除する>
,
<このまま>,<このまま>
,
<Choice End>,<Choice End>
,
#Choice#,#Choice#
ストックした発言を当てる,Apply stored statement
やめる,Cancel
##,##
,
<ストックした発言を当てる>,<ストックした発言を当てる>
,
{Qタロウ} [Qタロウ / cara4-2],{Qタロウ} [Qタロウ / cara4-2]
#Message#,#Message#
「異論があるんづーたら,"""If you got'n objection,"
　もちっと分かりやすく説明してくれよ！」, ya gotta explain yerself better than that!"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\C[4]（別の発言を当てれば納得させられるだろうか…）,\C[4](Would a different statement convince him...?)
##,##
,
{Qタロウ},{Qタロウ}
#Message#,#Message#
「異論があるんづーたら,"""If you got'n objection,"
　もちっと分かりやすく説明してくれよ！」, ya gotta explain yerself better than that!"
##,##
,
{サラ},{サラ}
#Message#,#Message#
\C[4]（別の発言を当てれば納得させられるだろうか…）,\C[4](Would a different statement convince him...?)
##,##
,
<やめる>,<やめる>
,
<Choice End>,<Choice End>
,
{Qタロウ} [Qタロウ / cara4-2],{Qタロウ} [Qタロウ / cara4-2]
#Message#,#Message#
